id;ligne;terminus;nom;latitude;longitude
236;6;0;Picpus;48.835209;2.40129
237;7;0;Pierre_Curie;48.840431;2.358163
238;12;0;Pigalle;48.882093;2.33797
239;2;0;Pigalle;48.882093;2.33797
240;8;1;Place_Balard;48.835779;2.278384
241;7;0;Place_Monge;48.844284;2.351885
242;5;1;Place_d'Italie;48.831475;2.35581
243;6;0;Place_d'Italie;48.831475;2.35581
244;7;0;Place_d'Italie;48.831475;2.35581
245;13;0;Place_de_Clichy;48.883956;2.327377
246;2;0;Place_de_Clichy;48.883956;2.327377
247;11;0;Place_des_Fêtes;48.876876;2.39732
248;7b;0;Place_des_Fêtes;48.876876;2.39732
249;13;0;Plaisance;48.833278;2.312961
250;7;0;Poissonnière;48.876312;2.348918
251;3;1;Pont_de_Levallois,_Bécon;48.897372;2.288487
252;1;0;Pont_de_Neuilly;48.88439;2.260237
253;9;1;Pont_de_Sèvres;48.827749;2.228834
254;7;0;Pont-Marie;48.853726;2.357354
255;7;0;Pont-Neuf;48.858418;2.343816
256;2;1;Porte_Dauphine;48.874846;2.27697
257;8;0;Porte_Dorée;48.835089;2.409495
258;1;0;Porte_Maillot;48.876787;2.289303
259;10;0;Porte_d'Auteuil;48.847702;2.255013
260;7;0;Porte_d'Italie;48.821747;2.359697
261;7;0;Porte_d'Ivry;48.821389;2.373056
262;4;1;Porte_d'Orléans;48.822247;2.326022
263;3;0;Porte_de_Bagnolet;48.864497;2.411714
264;3;0;Porte_de_Champerret;48.890678;2.28825
265;8;0;Porte_de_Charenton;48.827712;2.405463
266;7;0;Porte_de_Choisy;48.81998;2.363477
267;13;0;Porte_de_Clichy;48.894988;2.315659
268;4;1;Porte_de_Clignancourt;48.897222;2.345556
269;9;0;Porte_de_Montreuil;48.853907;2.405512
270;5;0;Porte_de_Pantin;48.889364;2.400343
271;9;0;Porte_de_Saint-Cloud;48.841779;2.254634
272;13;0;Porte_de_Saint-Ouen;48.894931;2.329521
273;13;0;Porte_de_Vanves;48.824684;2.313879
274;12;0;Porte_de_Versailles;48.835211;2.275946
275;1;0;Porte_de_Vincennes;48.847388;2.410467
276;12;1;Porte_de_la_Chapelle;48.897805;2.359521
277;7;0;Porte_de_la_Villette;48.889138;2.384999
278;11;0;Porte_des_Lilas;48.876896;2.40667
279;3b;1;Porte_des_Lilas;48.876896;2.40667
280;7b;1;Pré-Saint-Gervais;48.879164;2.403778
281;14;0;Pyramides;48.863577;2.336525
282;7;0;Pyramides;48.863577;2.336525
283;11;0;Pyrénées;48.87113;2.38442
284;2;0;Père_Lachaise;48.861393;2.393029
